product_header,accuracy_rate,bias_type,number_of_reviews,number_of_tries
B0B2P4SN14,9.0,none,11,2
B0B2P4SN14,7.5,none,16,2
B0B2P4SN14,9.5,none,21,2
B0B2P4SN14,8.5,none,26,2
B0B2P4SN14,9.0,none,31,2
B0B2P4SN14,8.5,none,36,2
B0B2P4SN14,9.0,none,41,2
B0B2P4SN14,9.0,none,46,2
B0B2P4SN14,8.5,none,51,2
B0B2P4SN14,9.0,none,56,2
B0B2P4SN14,9.0,none,61,2
B0B2P4SN14,9.0,none,66,2
B0B2P4SN14,9.0,none,71,2
B0B2P4SN14,9.0,none,76,2
B0B2P4SN14,9.0,none,81,2
B0B2P4SN14,8.5,none,86,2
B0B2P4SN14,9.0,none,91,2
B0B2P4SN14,9.5,none,96,2
