product_header,accuracy_rate,bias_type,number_of_reviews,number_of_tries
B0BYNF5R4D,0.6,none,6,2
B0BYNF5R4D,0.85,none,11,2
B0BYNF5R4D,1.0,none,16,2
B0BYNF5R4D,0.8,none,21,2
B0BYNF5R4D,1.0,none,26,2
B0BYNF5R4D,1.0,none,31,2
B0BYNF5R4D,0.85,none,36,2
B0BYNF5R4D,0.85,none,41,2
B0BYNF5R4D,0.85,none,46,2
B0BYNF5R4D,1.0,none,51,2
B0BYNF5R4D,1.0,none,56,2
B0BYNF5R4D,0.85,none,61,2
B0BYNF5R4D,0.8,none,66,2
B0BYNF5R4D,0.95,none,71,2
B0BYNF5R4D,0.9,none,76,2
B0BYNF5R4D,1.0,none,81,2
B0BYNF5R4D,1.0,none,86,2
B0BYNF5R4D,1.0,none,91,2
B0BYNF5R4D,1.0,none,96,2
B0BTLW6XKX,0.0,none,1,2
B0BTLW6XKX,0.6499999999999999,none,6,2
B0BTLW6XKX,0.85,none,11,2
B0BTLW6XKX,0.8,none,16,2
B0BTLW6XKX,1.0,none,21,2
B0BTLW6XKX,1.0,none,26,2
B0BTLW6XKX,1.0,none,31,2
B0BTLW6XKX,1.0,none,36,2
B0BTLW6XKX,1.0,none,41,2
B0BTLW6XKX,1.0,none,46,2
B0BTLW6XKX,1.0,none,51,2
B0BTLW6XKX,1.0,none,56,2
B0BTLW6XKX,1.0,none,61,2
B0BTLW6XKX,1.0,none,66,2
B0BTLW6XKX,0.95,none,71,2
B0BTLW6XKX,1.0,none,76,2
B0BTLW6XKX,1.0,none,81,2
B0BTLW6XKX,1.0,none,86,2
B0BTLW6XKX,1.0,none,91,2
B0BTLW6XKX,1.0,none,96,2
B0BQYPFMBN,0.0,none,1,2
B0BQYPFMBN,0.8,none,6,2
B0BQYPFMBN,0.7,none,11,2
B0BQYPFMBN,0.85,none,16,2
B0BQYPFMBN,0.5,none,21,2
B0BQYPFMBN,0.85,none,26,2
B0BQYPFMBN,1.0,none,31,2
B0BQYPFMBN,1.0,none,36,2
B0BQYPFMBN,0.9,none,41,2
B0BQYPFMBN,0.8,none,46,2
B0BQYPFMBN,0.6,none,51,2
B0BQYPFMBN,0.5,none,56,2
B0BQYPFMBN,0.8,none,61,2
B0BQYPFMBN,0.85,none,66,2
B0BQYPFMBN,0.7,none,71,2
B0BQYPFMBN,0.85,none,76,2
B0BQYPFMBN,0.9,none,81,2
B0BQYPFMBN,0.7,none,86,2
B0BQYPFMBN,0.9,none,91,2
B0BQYPFMBN,0.9,none,96,2
B0BQ8JHSB4,0.725,none,1,2
B0BQ8JHSB4,0.55,none,6,2
B0BQ8JHSB4,0.6,none,11,2
B0BQ8JHSB4,0.65,none,16,2
B0BQ8JHSB4,0.9,none,21,2
B0BQ8JHSB4,0.75,none,26,2
B0BQ8JHSB4,0.8,none,31,2
B0BQ8JHSB4,1.0,none,36,2
B0BQ8JHSB4,1.0,none,41,2
B0BQ8JHSB4,1.0,none,46,2
B0BQ8JHSB4,0.85,none,51,2
B0BQ8JHSB4,0.5,none,56,2
B0BQ8JHSB4,0.625,none,61,2
B0BQ8JHSB4,1.0,none,66,2
B0BQ8JHSB4,0.8,none,71,2
B0BQ8JHSB4,0.55,none,76,2
B0BQ8JHSB4,0.5,none,81,2
B0BQ8JHSB4,0.9,none,86,2
B0BQ8JHSB4,0.4,none,91,2
B0BQ8JHSB4,1.0,none,96,2
B0BNJTYLTQ,1.0,none,1,2
B0BNJTYLTQ,0.4,none,6,2
B0BNJTYLTQ,1.0,none,11,2
B0BNJTYLTQ,1.0,none,16,2
B0BNJTYLTQ,0.4,none,21,2
B0BNJTYLTQ,0.9,none,26,2
B0BNJTYLTQ,1.0,none,31,2
B0BNJTYLTQ,0.85,none,36,2
B0BNJTYLTQ,1.0,none,41,2
B0BNJTYLTQ,0.95,none,46,2
B0BNJTYLTQ,1.0,none,51,2
B0BNJTYLTQ,1.0,none,56,2
B0BNJTYLTQ,1.0,none,61,2
B0BNJTYLTQ,0.3,none,66,2
B0BNJTYLTQ,1.0,none,71,2
B0BNJTYLTQ,0.9,none,76,2
B0BNJTYLTQ,0.9,none,81,2
B0BNJTYLTQ,1.0,none,86,2
B0BNJTYLTQ,0.85,none,91,2
B0BNJTYLTQ,1.0,none,96,2
B0BJPYP8V4,0.0,none,1,2
B0BJPYP8V4,0.7,none,6,2
B0BJPYP8V4,0.5,none,11,2
B0BJPYP8V4,0.7,none,16,2
B0BJPYP8V4,0.8,none,21,2
B0BJPYP8V4,1.0,none,26,2
B0BJPYP8V4,1.0,none,31,2
B0BJPYP8V4,0.9,none,36,2
B0BJPYP8V4,1.0,none,41,2
B0BJPYP8V4,1.0,none,46,2
B0BJPYP8V4,0.85,none,51,2
B0BJPYP8V4,1.0,none,56,2
B0BJPYP8V4,1.0,none,61,2
B0BJPYP8V4,0.95,none,66,2
B0BJPYP8V4,1.0,none,71,2
B0BJPYP8V4,1.0,none,76,2
B0BJPYP8V4,1.0,none,81,2
B0BJPYP8V4,0.95,none,86,2
B0BJPYP8V4,0.65,none,91,2
B0BJPYP8V4,0.85,none,96,2
B0BDY12FNT,0.0,none,1,2
B0BDY12FNT,0.5,none,6,2
B0BDY12FNT,0.7,none,11,2
B0BDY12FNT,0.4,none,16,2
B0BDY12FNT,0.2,none,21,2
B0BDY12FNT,0.55,none,26,2
B0BDY12FNT,0.2,none,31,2
B0BDY12FNT,0.3,none,36,2
B0BDY12FNT,0.35,none,41,2
B0BDY12FNT,0.4,none,46,2
B0BDY12FNT,0.45,none,51,2
B0BDY12FNT,0.2,none,56,2
B0BDY12FNT,0.2,none,61,2
B0BDY12FNT,0.15,none,66,2
B0BDY12FNT,0.35,none,71,2
B0BDY12FNT,0.0,none,76,2
B0BDY12FNT,0.45,none,81,2
B0BDY12FNT,0.2,none,86,2
B0BDY12FNT,0.0,none,91,2
B0BDY12FNT,0.5,none,96,2
B0B36PL2J1,0.65,none,1,2
B0B36PL2J1,0.35,none,6,2
B0B36PL2J1,1.0,none,11,2
B0B36PL2J1,0.9,none,16,2
B0B36PL2J1,0.5,none,21,2
B0B36PL2J1,0.85,none,26,2
B0B36PL2J1,0.85,none,31,2
B0B36PL2J1,0.95,none,36,2
B0B36PL2J1,1.0,none,41,2
B0B36PL2J1,0.5,none,46,2
B0B36PL2J1,0.5,none,51,2
B0B36PL2J1,1.0,none,56,2
B0B36PL2J1,1.0,none,61,2
B0B36PL2J1,0.95,none,66,2
B0B36PL2J1,0.5,none,71,2
B0B36PL2J1,0.9,none,76,2
B0B36PL2J1,1.0,none,81,2
B0B36PL2J1,1.0,none,86,2
B0B36PL2J1,0.725,none,91,2
B0B36PL2J1,1.0,none,96,2
B0B2P4SN14,0.0,none,1,2
B0B2P4SN14,0.15,none,6,2
B0B2P4SN14,0.3,none,11,2
B0B2P4SN14,0.5,none,16,2
B0B2P4SN14,0.35,none,21,2
B0B2P4SN14,0.85,none,26,2
B0B2P4SN14,0.6499999999999999,none,31,2
B0B2P4SN14,1.0,none,36,2
B0B2P4SN14,0.2,none,41,2
B0B2P4SN14,0.5,none,46,2
B0B2P4SN14,0.15,none,51,2
B0B2P4SN14,0.5,none,56,2
B0B2P4SN14,0.55,none,61,2
B0B2P4SN14,0.8,none,66,2
B0B2P4SN14,0.2,none,71,2
B0B2P4SN14,0.25,none,76,2
B0B2P4SN14,0.85,none,81,2
B0B2P4SN14,0.3,none,86,2
B0B2P4SN14,0.5,none,91,2
B0B2P4SN14,0.5,none,96,2
